,mean_fit_time,mean_score_time,mean_test_score,model_key,model_name,param_imputer__strategy,param_regressor__alpha,param_regressor__max_features,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score,training_x
0,0.0232572078704834,0.0036351680755615234,0.8072766467695868,rr,Ridge regression,mean,0.0001,,"{'imputer__strategy': 'mean', 'regressor__alpha': 0.0001}",1,0.8029197919856418,0.7888053426742214,0.8206833919160061,0.8145066801842799,0.809468027087785,0.002148987215846548,0.00036675393062123376,0.010926917267824894,X
1,0.021649599075317383,0.003784799575805664,0.8072407698987476,rr,Ridge regression,mean,0.001,,"{'imputer__strategy': 'mean', 'regressor__alpha': 0.001}",2,0.8028897870229497,0.7887723208427238,0.8206679423303663,0.8144359150307013,0.8094378842669965,0.000541099314321619,0.0004434685449603463,0.010926125086652637,X
2,0.02658677101135254,0.003971767425537109,0.8071528338922767,rr,Ridge regression,median,0.0001,,"{'imputer__strategy': 'median', 'regressor__alpha': 0.0001}",3,0.8015684143574676,0.7889447539655546,0.8203039146168517,0.8154986125115927,0.8094484740099167,0.003683431249417782,0.0006050501452373125,0.01105072689641089,X
3,0.024070310592651366,0.0032127857208251952,0.8071178904546278,rr,Ridge regression,median,0.001,,"{'imputer__strategy': 'median', 'regressor__alpha': 0.001}",4,0.8015391434468401,0.7889140640901642,0.8202864166137368,0.8154283918164245,0.8094214363059737,0.0015297972793833856,0.00017666585691642988,0.011047918809090304,X
4,0.02302699089050293,0.004782438278198242,0.8067184129246033,rr,Ridge regression,mean,0.01,,"{'imputer__strategy': 'mean', 'regressor__alpha': 0.01}",5,0.8026233107618012,0.788497359806785,0.819534658240846,0.8137762174712425,0.809160518342342,0.004695464002057127,0.0017502446278652585,0.01066592017917034,X
5,0.02150716781616211,0.0031322956085205076,0.8065938639839629,rr,Ridge regression,median,0.01,,"{'imputer__strategy': 'median', 'regressor__alpha': 0.01}",6,0.8012811815519331,0.7886588453401483,0.81908623310688,0.8147686499415551,0.8091744099792979,0.0015209393016257598,0.0002229893371683716,0.010765083536761562,X
6,0.02460174560546875,0.0033463954925537108,0.8062597233361606,rr,Ridge regression,most_frequent,0.0001,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 0.0001}",7,0.8042084530367817,0.7856408090041301,0.8174178519963932,0.8169946483731566,0.8070368542703412,0.0015133968755271622,0.0003735455499088134,0.011573190755446942,X
7,0.024239540100097656,0.0031122207641601563,0.8062246046572896,rr,Ridge regression,most_frequent,0.001,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 0.001}",8,0.8041921632782367,0.7856097332363381,0.8173917449249068,0.816927350045065,0.8070020318019014,0.0013729295321062034,0.0003198775135450157,0.011566865739853775,X
8,0.02357034683227539,0.0031244754791259766,0.8059094839742148,rr,Ridge regression,most_frequent,0.01,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 0.01}",9,0.8040587466443458,0.7853501132881668,0.8171686154800222,0.8162874668174297,0.80668247764111,0.0012491921682767154,0.00032979069297684566,0.011499400341223761,X
9,0.01589040756225586,0.003637266159057617,0.8038289099536444,rr,Ridge regression,mean,0.1,,"{'imputer__strategy': 'mean', 'regressor__alpha': 0.1}",10,0.8018602567394155,0.7867076869648402,0.819367058488614,0.8070786711127582,0.8041308764625942,0.002038425898840164,0.000202065697022516,0.010479485324851052,X
