,model_key,model_name,training_x,feature,coefficient,normalized_importance,rank_importance
11,rr,Ridge regression,X_with_covar,HIV/AIDS,-1.6030137264086817,0.9999999999999999,1.0
162,rr,Ridge regression,X_with_covar,Sierra Leone,-1.5656817242599215,0.9765984725311561,2.0
203,rr,Ridge regression,X_with_covar,Developing,-1.3700651596449311,0.8539764285283378,3.5
202,rr,Ridge regression,X_with_covar,Developed,1.3700651596449311,0.8539764285283378,3.5
22,rr,Ridge regression,X_with_covar,Angola,-1.3257531448623474,0.8261994872594943,5.0
62,rr,Ridge regression,X_with_covar,Côte d'Ivoire,-1.2096748141212663,0.753435904032679,6.0
51,rr,Ridge regression,X_with_covar,Chad,-1.1967012950806564,0.7453034668548759,7.0
18,rr,Ridge regression,X_with_covar,Year,1.1935967685925324,0.7433573975923679,8.0
50,rr,Ridge regression,X_with_covar,Central African Republic,-1.1557188268264782,0.7196136484312737,9.0
167,rr,Ridge regression,X_with_covar,Somalia,-1.0461136431946367,0.6509077508673682,10.0
83,rr,Ridge regression,X_with_covar,Greece,0.9750400330040462,0.6063553308134589,11.0
120,rr,Ridge regression,X_with_covar,Mali,-0.9246951704686522,0.5747967050841845,12.0
117,rr,Ridge regression,X_with_covar,Malawi,-0.9181645068959665,0.5707029652848296,13.0
111,rr,Ridge regression,X_with_covar,Lesotho,-0.9171752402642742,0.5700828445057909,14.0
77,rr,Ridge regression,X_with_covar,France,0.8955911605074566,0.5565528861256814,15.0
169,rr,Ridge regression,X_with_covar,South Sudan,-0.890305366190136,0.5532394913493034,16.0
149,rr,Ridge regression,X_with_covar,Republic of Korea,0.881850911357324,0.5479398249607778,17.0
49,rr,Ridge regression,X_with_covar,Canada,0.8626545275672044,0.5359065913619773,18.0
45,rr,Ridge regression,X_with_covar,Burundi,-0.8436307488285557,0.5239815550636366,19.0
98,rr,Ridge regression,X_with_covar,Israel,0.8194193330410271,0.5088046537725209,20.0
44,rr,Ridge regression,X_with_covar,Burkina Faso,-0.8130570229207913,0.504816446163116,21.0
182,rr,Ridge regression,X_with_covar,Togo,-0.8106883054909181,0.5033316180582579,22.0
52,rr,Ridge regression,X_with_covar,Chile,0.7824162479151862,0.4856093076040033,23.0
137,rr,Ridge regression,X_with_covar,Nigeria,-0.7739565905082543,0.48030637998719716,24.0
71,rr,Ridge regression,X_with_covar,Equatorial Guinea,-0.77260489695303,0.47945907226081286,25.0
86,rr,Ridge regression,X_with_covar,Guinea,-0.758860541390009,0.47084343699517855,26.0
87,rr,Ridge regression,X_with_covar,Guinea-Bissau,-0.7562123765115261,0.4691834375421917,27.0
192,rr,Ridge regression,X_with_covar,United Republic of Tanzania,-0.7554254841723699,0.46869017488201054,28.0
64,rr,Ridge regression,X_with_covar,Democratic Republic of the Congo,-0.7549015563280922,0.46836175124722396,29.0
36,rr,Ridge regression,X_with_covar,Benin,-0.7522851243152403,0.46672164350869083,30.0
48,rr,Ridge regression,X_with_covar,Cameroon,-0.7416728341806312,0.46006934026219476,31.0
112,rr,Ridge regression,X_with_covar,Liberia,-0.7293051201843327,0.4523166513585058,32.0
76,rr,Ridge regression,X_with_covar,Finland,0.7129635525814424,0.44207295637479843,33.0
57,rr,Ridge regression,X_with_covar,Costa Rica,0.709782419545509,0.4400788663759337,34.0
200,rr,Ridge regression,X_with_covar,Zambia,-0.7059276746298124,0.43766252345731377,35.0
136,rr,Ridge regression,X_with_covar,Niger,-0.6994837139477043,0.43362313327648166,36.0
129,rr,Ridge regression,X_with_covar,Mozambique,-0.696561226380701,0.431791174926001,37.0
188,rr,Ridge regression,X_with_covar,Uganda,-0.6817873787874842,0.4225302036313056,38.0
201,rr,Ridge regression,X_with_covar,Zimbabwe,-0.6676648592139228,0.4136775166413859,39.0
19,rr,Ridge regression,X_with_covar,Afghanistan,-0.6503593099221063,0.40282955071922266,40.0
79,rr,Ridge regression,X_with_covar,Gambia,-0.6327384252637621,0.3917839171441891,41.0
59,rr,Ridge regression,X_with_covar,Cuba,0.624232648980631,0.3864520799568781,42.0
148,rr,Ridge regression,X_with_covar,Qatar,0.6130434590602906,0.3794381476681258,43.0
89,rr,Ridge regression,X_with_covar,Haiti,-0.5598965280953457,0.34612304820185696,44.0
141,rr,Ridge regression,X_with_covar,Panama,0.5573269314954775,0.3445122991941812,45.0
39,rr,Ridge regression,X_with_covar,Bosnia and Herzegovina,0.5481997632624199,0.3387909430968697,46.0
104,rr,Ridge regression,X_with_covar,Kenya,-0.5459603855651081,0.33738719147144286,47.0
153,rr,Ridge regression,X_with_covar,Rwanda,-0.5438931753923111,0.3360913628831498,48.0
82,rr,Ridge regression,X_with_covar,Ghana,-0.5386554761258566,0.33280811644035085,49.0
194,rr,Ridge regression,X_with_covar,Uruguay,0.5321425830064491,0.3287255160315078,50.0
17,rr,Ridge regression,X_with_covar,Schooling,0.5294120963331339,0.32701391324539736,51.0
42,rr,Ridge regression,X_with_covar,Brunei Darussalam,0.5293534397040579,0.32697714439729,52.0
40,rr,Ridge regression,X_with_covar,Botswana,-0.5262007664330726,0.3250008943730543,53.0
7,rr,Ridge regression,X_with_covar,under-five deaths,-0.5245976624298959,0.3239959902638061,54.0
190,rr,Ridge regression,X_with_covar,United Arab Emirates,0.5159952142202573,0.31860355437796783,55.0
